iter	RMSE
164	0.241917414
165	0.2419145784
166	0.2418133877
167	0.2393780413
168	0.2385309458
169	0.2385284983
170	0.238524528
171	0.2377194221
172	0.2366600928
173	0.2366303251
174	0.236584875
175	0.2361720172
176	0.2356581792
177	0.2356543436
178	0.2356503369
179	0.2356496878
180	0.235649242
181	0.2356470761
182	0.2356453062
183	0.23564342
184	0.2356415028
185	0.2356403167
186	0.235586016
187	0.2354810907
188	0.235393318
189	0.2353782771
190	0.2350144419
191	0.2348305566
192	0.2348302573
193	0.2348249092
194	0.2347999289
195	0.2339366939
196	0.2339365644
197	0.2334479036
198	0.2334464173
199	0.2334447273
200	0.2334443389
201	0.2333180262
202	0.2333163956
203	0.2330506846
204	0.2330495092
205	0.2330479737
206	0.2330470792
207	0.233046314
208	0.2330379003
209	0.2330371429
210	0.2330369902
211	0.2330366475
212	0.2330199657
213	0.232924934
214	0.2329245892
215	0.232886905
216	0.2328864658
217	0.2328856617
218	0.2328851324
219	0.232486052
220	0.2324846129
221	0.2324684109
222	0.232465339
223	0.2324607542
224	0.2324601657
225	0.2324571568
226	0.2324569734
227	0.2324565356
228	0.2324529019
229	0.2324517119
230	0.2324487289
231	0.2324486467
232	0.2321480648
233	0.2321473078
234	0.2320146999
235	0.2320143622
236	0.2309057189
237	0.2307778184
238	0.2307767628
239	0.229558904
240	0.2291149181
241	0.2290831699
242	0.2290162326
243	0.2289804246
244	0.228889204
245	0.2288881951
246	0.2288779907
247	0.2288778609
248	0.2288776765
249	0.2286776351
250	0.2286766226
251	0.2286744711
252	0.2286722919
253	0.2286716972
254	0.2285459142
255	0.2285315676
256	0.2285304616
257	0.2285279223
258	0.2285272079
259	0.2285266452
260	0.2285262127
261	0.2285257338
262	0.2282410397
263	0.2281350935
264	0.2281156232
265	0.2280749178
266	0.2280640767
267	0.2280636987
268	0.2278310443
269	0.2278144488
270	0.2277956733
271	0.2277952814
272	0.2277793197
273	0.227774462
274	0.2277742258
275	0.2275475206
276	0.227272679
277	0.2272699595
278	0.2272695365
279	0.2272676172
280	0.227258463
281	0.22723197
282	0.2265174467
283	0.2265172576
284	0.2263497082
285	0.2263429106
286	0.2263400066
287	0.2261316259
288	0.2261313921
289	0.2253717487
290	0.2253715182
291	0.2253710741
292	0.2253709412
293	0.225366183
294	0.2253581126
295	0.2253579314
296	0.2249016728
297	0.2249012561
298	0.2249010472
299	0.2248895321
300	0.2248884143
301	0.2240087049
302	0.2240085212
303	0.22399339
304	0.22399269
305	0.2239910343
306	0.223990713
307	0.2239906522
308	0.2239904876
309	0.2239830342
310	0.2239820917
311	0.2239805385
312	0.2239792094
313	0.2238967386
314	0.2238939171
315	0.2238937828
316	0.223882731
317	0.2237869934
318	0.2237178057
319	0.2237174379
320	0.2237166464
321	0.2237123221
322	0.2228165451
323	0.2228162607
324	0.2228159056
325	0.2228133367
326	0.2226969449
327	0.2226760346
328	0.2226754894
329	0.2226725944
330	0.2226722406
331	0.2226268632
332	0.222626399
333	0.2226239445
334	0.2225093439
335	0.2224568062
336	0.2224523144
337	0.2224484281
338	0.2218081172
339	0.2218047335
340	0.2218045361
341	0.2218036657
342	0.2209087686
343	0.2209014048
344	0.2209011813
345	0.2209010446
346	0.2209010239
347	0.2209009045
348	0.2208843634
349	0.2208843012
350	0.2208840823
351	0.2208840339
352	0.2208833825
353	0.2208833339
354	0.2208687449
355	0.220868492
356	0.2208671639
357	0.2208670803
358	0.220867025
359	0.2208388916
360	0.2208385025
361	0.2208339005
362	0.220661221
363	0.2206145224
364	0.2206138988
365	0.2206132297
366	0.2206088901
367	0.2205689538
368	0.2205688883
369	0.2205628788
370	0.2205625651
371	0.2200949604
372	0.2199463238
373	0.2199124225
374	0.2198747732
375	0.2197577893
376	0.2196236839
377	0.2178179421
378	0.2178168472
379	0.2177792402
380	0.2177784561
381	0.2177012912
382	0.2177012023
383	0.2176999799
384	0.2176257212
385	0.2176256111
386	0.2176227462
387	0.2176173079
388	0.2176172234
389	0.2176131703
390	0.2176122522
391	0.2176108882
392	0.2176078562
393	0.2176053946
394	0.2173539324
395	0.2173389241
396	0.2173005461
397	0.2172995068
398	0.2157145106
399	0.2156989
400	0.2156987402
401	0.2156985825
402	0.2156971212
403	0.2156913074
404	0.2156911529
405	0.2156907733
406	0.2155532559
407	0.2155059877
408	0.2153938551
409	0.2153936459
410	0.2153915363
411	0.2153913683
412	0.2147596406
413	0.2147352758
414	0.2147046528
415	0.2147045335
416	0.2147044332
417	0.214702081
418	0.2141198378
419	0.213581152
420	0.2135809971
421	0.213580896
422	0.2135473091
423	0.2135467439
424	0.213539835
425	0.2135396991
426	0.2135385502
427	0.2135377918
428	0.2135323203
429	0.2135154988
430	0.2135153665
431	0.2135152548
432	0.2135150151
433	0.2135149923
434	0.2135147976
435	0.2135095633
436	0.2135091526
437	0.2128013772
438	0.2127517623
439	0.2127505339
440	0.2126168977
441	0.212615239
442	0.212614502
443	0.212614112
444	0.2126138947
445	0.2126126064
446	0.2126012639
447	0.2126006052
448	0.2126005196
449	0.2125963957
450	0.212410742
451	0.2123153572
452	0.2123152256
453	0.2122988669
454	0.2118859838
455	0.2118856229
456	0.21184469
457	0.2117938229
458	0.211786727
459	0.2117866217
460	0.2117864486
461	0.2117860649
462	0.2117379714
463	0.2117332464
464	0.2117278615
465	0.2117277464
466	0.2117266693
467	0.2117264458
468	0.2113302465
469	0.2111714853
470	0.2111666961
471	0.2110580724
472	0.2110522058
473	0.2110519177
474	0.2104300157
475	0.2104266371
476	0.2104204035
477	0.2104123463
478	0.210313415
479	0.2103116148
480	0.2103112713
481	0.2102373188
482	0.2102368121
483	0.2102364892
484	0.2102362141
485	0.210233854
486	0.2102336306
487	0.2102233782
488	0.2099299807
489	0.2099290816
490	0.2098446858
491	0.2098444218
492	0.2097907376
493	0.2097906902
494	0.2095644904
495	0.2095642371
496	0.2095639731
497	0.209557415
498	0.2095571978
499	0.2095396503
500	0.2095391673
501	0.2095384831
502	0.2095380694
503	0.2095376657
504	0.2095374369
505	0.20928745
506	0.2092872615
507	0.209261362
508	0.2092612506
509	0.2086847785
510	0.2086722961
511	0.2086666695
512	0.2086662192
513	0.2086637697
514	0.2086589997
515	0.2086584398
516	0.2082165625
517	0.2082126258
518	0.2081978282
519	0.2081976673
520	0.2081525584
521	0.2081401427
522	0.208132603
523	0.2081321959
524	0.20813212
525	0.2081312742
526	0.2081308505
527	0.208128193
528	0.2081253938
529	0.2081249997
530	0.208101493
531	0.2080705033
532	0.2080649774
533	0.2080647435
534	0.2077433196
535	0.2077430611
536	0.2077428541
537	0.2077424598
538	0.2077421234
539	0.2077392725
540	0.2077391666
541	0.2077391467
542	0.2077389607
543	0.2077389019
544	0.2077388576
545	0.2077387962
546	0.2077384664
547	0.2076251362
548	0.2076250692
549	0.2076250595
550	0.2075909688
551	0.2075905518
552	0.2075902145
553	0.2075883776
554	0.2075853895
555	0.2075851576
556	0.2075849166
557	0.2075847876
558	0.207583371
559	0.2075632315
560	0.2075598797
561	0.2075591982
562	0.2075588994
563	0.2075588718
564	0.207558815
565	0.2075586543
566	0.2075585338
567	0.2075584684
568	0.2075583782
569	0.2075462323
570	0.2075462007
571	0.2075407126
572	0.207540615
573	0.2075405414
574	0.2075404965
575	0.2075403551
576	0.2075403329
577	0.2075402557
578	0.2075395418
579	0.2075394851
580	0.2075394651
581	0.2075394479
582	0.2075394098
583	0.2075393802
584	0.2075368745
585	0.2075125824
586	0.2074983344
587	0.2072635843
588	0.2072631656
589	0.2066991826
590	0.2066982573
591	0.2066975534
592	0.2066969772
593	0.2066961915
594	0.2066944124
595	0.2066877356
596	0.206515289
597	0.2065050591
598	0.2065043637
599	0.2064958009
600	0.2064955569
601	0.2062531552
602	0.2062521879
603	0.2062521271
604	0.2062520473
605	0.2062495374
606	0.2060663234
607	0.2060657668
608	0.2060654695
609	0.2054735784
610	0.2052738148
611	0.2052316225
612	0.2052165778
613	0.2052147031
614	0.2052118366
615	0.2052115154
616	0.205192053
617	0.2051891253
618	0.2051888907
619	0.2051772334
620	0.2051588496
621	0.2051477772
622	0.2050898454
623	0.2050891015
624	0.2050878414
625	0.2050622139
626	0.2046537459
627	0.2046508969
628	0.2045628918
629	0.2043481917
630	0.204347053
631	0.2043436472
632	0.2043433853
633	0.2043425282
634	0.2042752189
635	0.2042750665
636	0.2041397079
637	0.2041390988
638	0.204111594
639	0.2038371386
640	0.2038368779
641	0.2037423469
642	0.2037339186
643	0.2037333837
644	0.2035506654
645	0.2035477703
646	0.2035467464
647	0.2035373189
648	0.2035368328
649	0.2035246939
650	0.203456856
651	0.2034567387
652	0.2034558769
653	0.2034556722
654	0.2034546
655	0.2032396897
656	0.2031996223
657	0.2031991486
658	0.2031979193
659	0.2031977773
660	0.2031976153
661	0.2031322847
662	0.2031322453
663	0.2031319955
664	0.2031316199
665	0.2031284372
666	0.2031282082
667	0.2031276527
668	0.2031273594
669	0.2028841509
670	0.2028825025
671	0.2028819184
672	0.2028818812
673	0.2028794975
674	0.2028792994
675	0.2028392055
676	0.2027227325
677	0.2027128309
678	0.2027075419
679	0.2027065998
680	0.2027010105
681	0.2027006379
682	0.2027005262
683	0.2026957274
684	0.2026559418
685	0.2026558663
686	0.2026508587
687	0.2026507052
688	0.2023523807
689	0.202350724
690	0.2022696293
691	0.2022674912
692	0.2022671241
693	0.2022668708
694	0.2022666773
695	0.2022665901
696	0.2022655412
697	0.2022654934
698	0.2022565277
699	0.2022494394
700	0.2022420982
701	0.202239074
702	0.2022389581
703	0.2022383129
704	0.2022380294
705	0.2022308324
706	0.2022302706
707	0.2022302118
708	0.2022300536
709	0.2022282723
710	0.2022226356
711	0.2022225234
712	0.202212631
713	0.2022110426
714	0.2021823495
715	0.2021450013
716	0.2021413275
717	0.2021298026
718	0.202129726
719	0.2018827193
720	0.2018817708
721	0.2018808018
722	0.2018802554
723	0.2018789605
724	0.2018785913
725	0.2018470292
726	0.2016219965
727	0.2016216334
728	0.2014950062
729	0.2014948731
730	0.2014940661
731	0.2014856511
732	0.2014850036
733	0.2014836033
734	0.201482823
735	0.2014238205
736	0.2014211213
737	0.2014204973
738	0.2014202644
739	0.2014198127
740	0.2014195617
741	0.2014192056
742	0.2014045074
743	0.201404193
744	0.201404081
745	0.2014038822
746	0.2014034852
747	0.2013143329
748	0.2012491286
749	0.2012459964
750	0.2012281183
751	0.2012167581
752	0.2011950265
753	0.2011946669
754	0.2011904784
755	0.2011901414
756	0.201189808
757	0.2011767917
758	0.2009965914
759	0.2009964433
760	0.2008919539
761	0.2008910997
762	0.2008901117
763	0.2008888025
764	0.2008884971
765	0.2007140592
766	0.2007138192
767	0.2007055455
768	0.2007054229
769	0.2007047932
770	0.2007039268
771	0.2006953311
772	0.2005767284
773	0.2003818341
774	0.2003779466
775	0.2003753041
776	0.2003592567
777	0.2003584645
778	0.2003300937
779	0.2003234694
780	0.2003126039
781	0.2003123009
782	0.2003102764
783	0.2002989902
784	0.2002988744
785	0.2002986038
786	0.2002981461
787	0.2002968269
788	0.2002886634
789	0.2002647117
790	0.2002643721
791	0.2002640368
792	0.2002639187
793	0.2002567452
794	0.2002564553
795	0.2002560765
796	0.2002552689
797	0.2002552381
798	0.2002550769
799	0.2002070009
800	0.2002066495
801	0.2002065694
802	0.2002065028
803	0.2002004719
804	0.2002004401
805	0.2002003343
806	0.2001991538
807	0.2001987249
808	0.2001949944
809	0.200190468
810	0.2001904334
811	0.2001902616
812	0.2001897902
813	0.2001894616
814	0.2001893998
815	0.200189348
816	0.2001892283
817	0.2001892077
818	0.2001890532
819	0.2001890458
820	0.2001872076
821	0.2001700972
822	0.2001642897
823	0.2001620549
824	0.2001451268
825	0.200139361
826	0.2001322648
827	0.2001321574
828	0.2001309715
829	0.2000523337
830	0.1997760723
831	0.1997758514
832	0.1996417749
833	0.199641576
834	0.1995783596
835	0.199574072
836	0.1995739939
837	0.1995738676
838	0.1995731449
839	0.1995730448
840	0.1995725814
841	0.1992306327
842	0.1992284662
843	0.1991106798
844	0.1991103936
845	0.1987144074
846	0.1987072477
847	0.1987069749
848	0.198706888
849	0.1987067261
850	0.1987037347
851	0.1987035416
852	0.198702844
853	0.1987012708
854	0.1987012403
855	0.1986980169
856	0.198696845
857	0.1986868255
858	0.1986850031
859	0.1986849226
860	0.1986848858
861	0.1986847445
862	0.1986846177
863	0.1983070678
864	0.1983046328
865	0.1983021564
866	0.1983006907
867	0.1983000188
868	0.1982994752
869	0.1982019235
870	0.1981810904
871	0.1981730212
872	0.1981704503
873	0.1981525797
874	0.1978067666
875	0.1978013495
876	0.1978010235
877	0.1977997703
878	0.1977920129
879	0.1977905665
880	0.1977893573
881	0.1977891553
882	0.1977890531
883	0.1977890131
884	0.1977535096
885	0.1977533509
886	0.1976995554
887	0.1976992691
888	0.1976991049
889	0.1976980655
890	0.1975134278
891	0.197336179
892	0.1973291513
893	0.1967287314
894	0.1967285909
895	0.1967283199
896	0.1967276493
897	0.1967273858
898	0.1966121123
899	0.1966115034
900	0.1966114491
901	0.1966111169
902	0.1961929987
903	0.1961388388
904	0.1961387547
905	0.196120692
906	0.1958673269
907	0.1958593556
908	0.1958566896
909	0.1958563219
910	0.1958555042
911	0.1958533433
912	0.195850828
913	0.1958490393
914	0.1958320482
915	0.1958153105
916	0.1957638108
917	0.1957500119
918	0.1955811056
919	0.1955808518
920	0.1955688305
921	0.1955678572
922	0.1955676302
923	0.1955673712
924	0.1955650871
925	0.1955587388
926	0.1955567794
927	0.1955506218
928	0.1955468553
929	0.1955207352
930	0.1955199546
931	0.1955192816
932	0.1955166957
933	0.1955163851
934	0.1955162978
935	0.1952254967
936	0.1952253552
937	0.1952244827
938	0.1951971807
939	0.1951941499
940	0.1951928783
941	0.1951927799
942	0.1951908161
943	0.195190623
944	0.1951903129
945	0.1951487809
946	0.1951481107
947	0.1951479715
948	0.1951479001
949	0.1951475253
950	0.1951465248
951	0.1951461586
952	0.1951432481
953	0.1951421435
954	0.1951408559
955	0.1951405052
956	0.1951397796
957	0.1951394424
958	0.1949429987
959	0.1949415521
960	0.194918759
961	0.194917935
962	0.1949173582
963	0.1949172349
964	0.194911102
965	0.1948900565
966	0.1948900172
967	0.1948899901
968	0.1948899347
969	0.194889806
970	0.1948874792
971	0.1948527341
972	0.1946677028
973	0.1946667161
974	0.1946655711
975	0.1946223123
976	0.1946066246
977	0.1946064612
978	0.1946055682
979	0.1946053764
980	0.1946052976
981	0.1946043963
982	0.194604306
983	0.1946042213
984	0.1946039076
985	0.1946037769
986	0.1945031448
987	0.1945019162
988	0.1945017768
989	0.1944644594
990	0.1944634396
991	0.1944628813
992	0.1944624051
993	0.1944622403
994	0.1943541761
995	0.1943529398
996	0.1943517621
997	0.194351672
998	0.1943514388
999	0.1943506517
