iter	Passed	Remaining
412	6356	9034
413	6368	9013
414	6380	8994
415	6392	8973
416	6403	8952
417	6415	8932
418	6429	8914
419	6441	8895
420	6453	8874
421	6468	8860
422	6487	8849
423	6501	8832
424	6514	8813
425	6525	8792
426	6538	8773
427	6549	8753
428	6562	8734
429	6573	8714
430	6586	8695
431	6597	8674
432	6608	8653
433	6616	8628
434	6627	8608
435	6639	8588
436	6651	8569
437	6664	8551
438	6681	8537
439	6693	8518
440	6705	8499
441	6717	8480
442	6728	8459
443	6740	8440
444	6751	8420
445	6763	8401
446	6776	8383
447	6787	8363
448	6795	8339
449	6808	8321
450	6820	8302
451	6833	8284
452	6846	8267
453	6877	8271
454	6908	8274
455	6920	8255
456	6933	8238
457	6946	8220
458	6958	8201
459	6970	8183
460	6985	8167
461	6997	8148
462	7009	8129
463	7021	8110
464	7032	8091
465	7041	8068
466	7053	8050
467	7064	8031
468	7078	8013
469	7091	7996
470	7104	7979
471	7120	7965
472	7132	7947
473	7144	7927
474	7158	7911
475	7169	7892
476	7183	7876
477	7195	7857
478	7207	7839
479	7219	7821
480	7232	7803
481	7245	7786
482	7257	7768
483	7269	7749
484	7281	7731
485	7292	7713
486	7332	7724
487	7343	7704
488	7356	7687
489	7367	7668
490	7378	7649
491	7389	7630
492	7405	7615
493	7490	7672
494	7564	7717
495	7599	7721
496	7617	7709
497	7629	7691
498	7642	7673
499	7656	7656
500	7668	7637
501	7680	7619
502	7710	7618
503	7741	7618
504	7778	7624
505	7806	7621
506	7842	7625
507	7881	7633
508	7918	7638
509	7950	7638
510	7997	7653
511	8040	7664
512	8099	7688
513	8116	7674
514	8141	7667
515	8159	7653
516	8172	7635
517	8184	7615
518	8196	7596
519	8225	7592
520	8250	7585
521	8269	7572
522	8284	7555
523	8296	7536
524	8321	7529
525	8334	7510
526	8351	7495
527	8362	7475
528	8378	7459
529	8392	7442
530	8407	7426
531	8431	7417
532	8455	7408
533	8476	7396
534	8488	7378
535	8499	7357
536	8512	7339
537	8524	7319
538	8535	7300
539	8549	7282
540	8559	7261
541	8571	7242
542	8583	7223
543	8602	7210
544	8616	7193
545	8629	7175
546	8644	7158
547	8656	7140
548	8667	7120
549	8679	7101
550	8692	7083
551	8703	7063
552	8719	7048
553	8731	7029
554	8744	7011
555	8756	6992
556	8768	6973
557	8776	6951
558	8788	6932
559	8801	6915
560	8815	6898
561	8830	6882
562	8842	6863
563	8853	6844
564	8864	6825
565	8880	6809
566	8892	6790
567	8904	6772
568	8915	6753
569	8928	6735
570	8949	6724
571	8994	6729
572	9021	6722
573	9036	6706
574	9047	6687
575	9064	6672
576	9077	6654
577	9088	6635
578	9103	6619
579	9115	6600
580	9120	6577
581	9126	6554
582	9134	6533
583	9149	6517
584	9161	6499
585	9178	6484
586	9195	6469
587	9208	6452
588	9227	6439
589	9241	6422
590	9253	6403
591	9266	6386
592	9277	6367
593	9289	6349
594	9302	6332
595	9315	6314
596	9330	6298
597	9342	6280
598	9353	6261
599	9364	6243
600	9375	6224
601	9391	6209
602	9402	6190
603	9418	6174
604	9433	6159
605	9445	6141
606	9457	6123
607	9472	6107
608	9492	6094
609	9518	6085
610	9529	6066
611	9540	6048
612	9566	6039
613	9580	6022
614	9592	6004
615	9603	5986
616	9615	5968
617	9628	5951
618	9643	5935
619	9659	5920
620	9672	5903
621	9684	5885
622	9696	5867
623	9709	5850
624	9720	5832
625	9732	5814
626	9748	5799
627	9760	5781
628	9773	5764
629	9785	5746
630	9796	5728
631	9808	5711
632	9824	5696
633	9837	5679
634	9854	5664
635	9868	5648
636	9896	5639
637	9916	5626
638	9928	5608
639	9941	5592
640	9954	5575
641	9966	5557
642	9978	5540
643	10007	5532
644	10025	5517
645	10036	5500
646	10060	5488
647	10072	5471
648	10087	5455
649	10100	5438
650	10122	5426
651	10133	5408
652	10145	5391
653	10158	5374
654	10174	5358
655	10187	5342
656	10200	5325
657	10212	5308
658	10223	5290
659	10235	5272
660	10247	5255
661	10260	5238
662	10277	5224
663	10291	5207
664	10303	5190
665	10315	5173
666	10326	5155
667	10338	5138
668	10350	5120
669	10362	5104
670	10374	5086
671	10387	5070
672	10404	5055
673	10418	5039
674	10431	5022
675	10444	5005
676	10456	4989
677	10472	4973
678	10484	4956
679	10495	4939
680	10507	4922
681	10522	4906
682	10534	4889
683	10545	4871
684	10559	4855
685	10574	4840
686	10587	4823
687	10598	4806
688	10610	4789
689	10633	4777
690	10650	4762
691	10668	4748
692	10683	4732
693	10694	4715
694	10705	4697
695	10717	4681
696	10729	4664
697	10740	4646
698	10756	4632
699	10768	4615
700	10780	4598
701	10793	4581
702	10804	4564
703	10817	4548
704	10829	4531
705	10844	4515
706	10856	4499
707	10875	4485
708	10886	4468
709	10898	4451
710	10911	4435
711	10923	4418
712	10934	4401
713	10946	4384
714	10959	4368
715	10974	4352
716	10990	4338
717	11002	4321
718	11014	4304
719	11027	4288
720	11038	4271
721	11049	4254
722	11061	4238
723	11074	4221
724	11089	4206
725	11106	4191
726	11119	4175
727	11129	4158
728	11143	4142
729	11155	4125
730	11168	4109
731	11180	4093
732	11191	4076
733	11205	4060
734	11223	4046
735	11244	4033
736	11261	4018
737	11272	4002
738	11286	3986
739	11297	3969
740	11309	3952
741	11320	3936
742	11335	3920
743	11354	3906
744	11374	3893
745	11384	3876
746	11396	3859
747	11408	3843
748	11419	3826
749	11430	3810
750	11441	3793
751	11452	3776
752	11466	3761
753	11482	3746
754	11494	3730
755	11506	3713
756	11517	3697
757	11528	3680
758	11540	3664
759	11562	3651
760	11574	3635
761	11589	3619
762	11602	3603
763	11614	3587
764	11627	3571
765	11641	3556
766	11652	3539
767	11665	3523
768	11677	3507
769	11692	3492
770	11707	3477
771	11718	3460
772	11731	3445
773	11744	3429
774	11755	3412
775	11767	3396
776	11780	3380
777	11791	3364
778	11803	3348
779	11820	3334
780	11832	3317
781	11844	3301
782	11856	3285
783	11868	3269
784	11879	3253
785	11892	3237
786	11907	3222
787	11919	3206
788	11937	3192
789	11949	3176
790	11961	3160
791	11973	3144
792	11985	3128
793	11996	3112
794	12008	3096
795	12020	3080
796	12032	3064
797	12038	3047
798	12064	3034
799	12076	3019
800	12089	3003
801	12102	2987
802	12114	2971
803	12126	2956
804	12137	2940
805	12149	2924
806	12161	2908
807	12173	2892
808	12187	2877
809	12199	2861
810	12210	2845
811	12222	2829
812	12234	2813
813	12245	2798
814	12257	2782
815	12267	2766
816	12279	2750
817	12298	2736
818	12317	2722
819	12324	2705
820	12340	2690
821	12351	2674
822	12363	2658
823	12375	2643
824	12387	2627
825	12398	2611
826	12410	2596
827	12421	2580
828	12461	2570
829	12510	2562
830	12524	2547
831	12537	2531
832	12549	2515
833	12561	2500
834	12574	2484
835	12586	2469
836	12597	2453
837	12609	2437
838	12622	2422
839	12647	2409
840	12667	2394
841	12689	2381
842	12707	2366
843	12729	2352
844	12742	2337
845	12756	2322
846	12768	2306
847	12790	2292
848	12802	2277
849	12815	2261
850	12832	2246
851	12844	2231
852	12856	2215
853	12869	2200
854	12883	2184
855	12900	2170
856	12916	2155
857	12932	2140
858	12945	2124
859	12957	2109
860	12970	2093
861	12985	2078
862	12996	2063
863	13009	2047
864	13021	2032
865	13033	2016
866	13048	2001
867	13061	1986
868	13072	1970
869	13085	1955
870	13100	1940
871	13114	1925
872	13129	1910
873	13142	1894
874	13156	1879
875	13184	1866
876	13196	1850
877	13208	1835
878	13219	1819
879	13232	1804
880	13246	1789
881	13257	1773
882	13268	1758
883	13279	1742
884	13290	1727
885	13301	1711
886	13313	1696
887	13327	1680
888	13343	1666
889	13354	1650
890	13375	1636
891	13396	1621
892	13414	1607
893	13433	1592
894	13448	1577
895	13462	1562
896	13475	1547
897	13488	1532
898	13501	1516
899	13513	1501
900	13526	1486
901	13544	1471
902	13558	1456
903	13573	1441
904	13585	1426
905	13596	1410
906	13609	1395
907	13622	1380
908	13634	1364
909	13645	1349
910	13656	1334
911	13668	1318
912	13682	1303
913	13694	1288
914	13706	1273
915	13720	1258
916	13738	1243
917	13752	1228
918	13766	1213
919	13778	1198
920	13789	1182
921	13801	1167
922	13810	1152
923	13822	1136
924	13833	1121
925	13845	1106
926	13859	1091
927	13872	1076
928	13883	1061
929	13895	1045
930	13907	1030
931	13919	1015
932	13931	1000
933	13947	985
934	13961	970
935	13974	955
936	13985	940
937	13998	925
938	14010	910
939	14022	895
940	14035	880
941	14047	864
942	14059	849
943	14071	834
944	14084	819
945	14096	804
946	14108	789
947	14119	774
948	14132	759
949	14144	744
950	14159	729
951	14170	714
952	14182	699
953	14195	684
954	14207	669
955	14220	654
956	14231	639
957	14243	624
958	14256	609
959	14268	594
960	14280	579
961	14292	564
962	14304	549
963	14316	534
964	14329	519
965	14341	504
966	14356	489
967	14368	474
968	14379	460
969	14392	445
970	14403	430
971	14416	415
972	14428	400
973	14440	385
974	14453	370
975	14465	355
976	14477	340
977	14490	325
978	14501	311
979	14513	296
980	14524	281
981	14536	266
982	14548	251
983	14564	236
984	14576	221
985	14587	207
986	14601	192
987	14613	177
988	14624	162
989	14637	147
990	14648	133
991	14660	118
992	14673	103
993	14685	88
994	14697	73
995	14709	59
996	14721	44
997	14734	29
998	14748	14
999	14762	0
